shard,split,frames,videos
Dataset_Shard_0000000_0099999,train,81909,91
Dataset_Shard_0000000_0099999,val,7768,9
Dataset_Shard_0000000_0099999,test,10323,10
Dataset_Shard_0100000_0199999,train,84660,88
Dataset_Shard_0100000_0199999,val,5977,11
Dataset_Shard_0100000_0199999,test,9363,9
Dataset_Shard_0200000_0299999,train,84604,95
Dataset_Shard_0200000_0299999,val,7850,11
Dataset_Shard_0200000_0299999,test,7546,6
Dataset_Shard_0300000_0399999,train,84196,94
Dataset_Shard_0300000_0399999,val,11692,12
Dataset_Shard_0300000_0399999,test,4112,6
Dataset_Shard_0400000_0499999,train,83327,89
Dataset_Shard_0400000_0499999,val,7417,9
Dataset_Shard_0400000_0499999,test,9256,11
Dataset_Shard_0500000_0599999,train,507,1
Dataset_Shard_0500000_0599999,val,0,0
Dataset_Shard_0500000_0599999,test,0,0
