shard,split,modality,file_count
Dataset_Shard_0000000_0099999,train,Img_HR,81909
Dataset_Shard_0000000_0099999,train,Img_LR,81909
Dataset_Shard_0000000_0099999,train,Mask_Cloth_HR,81909
Dataset_Shard_0000000_0099999,train,Mask_Cloth_LR,81909
Dataset_Shard_0000000_0099999,train,Mask_Full_HR,81909
Dataset_Shard_0000000_0099999,train,Mask_Full_LR,81909
Dataset_Shard_0000000_0099999,train,Mask_Skin_HR,81909
Dataset_Shard_0000000_0099999,train,Mask_Skin_LR,81909
Dataset_Shard_0000000_0099999,val,Img_HR,7768
Dataset_Shard_0000000_0099999,val,Img_LR,7768
Dataset_Shard_0000000_0099999,val,Mask_Cloth_HR,7768
Dataset_Shard_0000000_0099999,val,Mask_Cloth_LR,7768
Dataset_Shard_0000000_0099999,val,Mask_Full_HR,7768
Dataset_Shard_0000000_0099999,val,Mask_Full_LR,7768
Dataset_Shard_0000000_0099999,val,Mask_Skin_HR,7768
Dataset_Shard_0000000_0099999,val,Mask_Skin_LR,7768
Dataset_Shard_0000000_0099999,test,Img_HR,10323
Dataset_Shard_0000000_0099999,test,Img_LR,10323
Dataset_Shard_0000000_0099999,test,Mask_Cloth_HR,10323
Dataset_Shard_0000000_0099999,test,Mask_Cloth_LR,10323
Dataset_Shard_0000000_0099999,test,Mask_Full_HR,10323
Dataset_Shard_0000000_0099999,test,Mask_Full_LR,10323
Dataset_Shard_0000000_0099999,test,Mask_Skin_HR,10323
Dataset_Shard_0000000_0099999,test,Mask_Skin_LR,10323
Dataset_Shard_0100000_0199999,train,Img_HR,84660
Dataset_Shard_0100000_0199999,train,Img_LR,84660
Dataset_Shard_0100000_0199999,train,Mask_Cloth_HR,84660
Dataset_Shard_0100000_0199999,train,Mask_Cloth_LR,84660
Dataset_Shard_0100000_0199999,train,Mask_Full_HR,84660
Dataset_Shard_0100000_0199999,train,Mask_Full_LR,84660
Dataset_Shard_0100000_0199999,train,Mask_Skin_HR,84660
Dataset_Shard_0100000_0199999,train,Mask_Skin_LR,84660
Dataset_Shard_0100000_0199999,val,Img_HR,5977
Dataset_Shard_0100000_0199999,val,Img_LR,5977
Dataset_Shard_0100000_0199999,val,Mask_Cloth_HR,5977
Dataset_Shard_0100000_0199999,val,Mask_Cloth_LR,5977
Dataset_Shard_0100000_0199999,val,Mask_Full_HR,5977
Dataset_Shard_0100000_0199999,val,Mask_Full_LR,5977
Dataset_Shard_0100000_0199999,val,Mask_Skin_HR,5977
Dataset_Shard_0100000_0199999,val,Mask_Skin_LR,5977
Dataset_Shard_0100000_0199999,test,Img_HR,9363
Dataset_Shard_0100000_0199999,test,Img_LR,9363
Dataset_Shard_0100000_0199999,test,Mask_Cloth_HR,9363
Dataset_Shard_0100000_0199999,test,Mask_Cloth_LR,9363
Dataset_Shard_0100000_0199999,test,Mask_Full_HR,9363
Dataset_Shard_0100000_0199999,test,Mask_Full_LR,9363
Dataset_Shard_0100000_0199999,test,Mask_Skin_HR,9363
Dataset_Shard_0100000_0199999,test,Mask_Skin_LR,9363
Dataset_Shard_0200000_0299999,train,Img_HR,84604
Dataset_Shard_0200000_0299999,train,Img_LR,84604
Dataset_Shard_0200000_0299999,train,Mask_Cloth_HR,84604
Dataset_Shard_0200000_0299999,train,Mask_Cloth_LR,84604
Dataset_Shard_0200000_0299999,train,Mask_Full_HR,84604
Dataset_Shard_0200000_0299999,train,Mask_Full_LR,84604
Dataset_Shard_0200000_0299999,train,Mask_Skin_HR,84604
Dataset_Shard_0200000_0299999,train,Mask_Skin_LR,84604
Dataset_Shard_0200000_0299999,val,Img_HR,7850
Dataset_Shard_0200000_0299999,val,Img_LR,7850
Dataset_Shard_0200000_0299999,val,Mask_Cloth_HR,7850
Dataset_Shard_0200000_0299999,val,Mask_Cloth_LR,7850
Dataset_Shard_0200000_0299999,val,Mask_Full_HR,7850
Dataset_Shard_0200000_0299999,val,Mask_Full_LR,7850
Dataset_Shard_0200000_0299999,val,Mask_Skin_HR,7850
Dataset_Shard_0200000_0299999,val,Mask_Skin_LR,7850
Dataset_Shard_0200000_0299999,test,Img_HR,7546
Dataset_Shard_0200000_0299999,test,Img_LR,7546
Dataset_Shard_0200000_0299999,test,Mask_Cloth_HR,7546
Dataset_Shard_0200000_0299999,test,Mask_Cloth_LR,7546
