video_id,frames,first_frame_id,last_frame_id,frame_id_span,frame_id_gaps,missing_frame_ids,min_frame_step,max_frame_step,continuous,num_shards,shards,split
6ys4etJ1IFg,3462,61461,64922,3462,0,0,1,1,True,1,Dataset_Shard_0000000_0099999,train
Pft9pKcpJfQ,3447,223418,226864,3447,0,0,1,1,True,1,Dataset_Shard_0200000_0299999,train
U7HzviIwyfs,3430,259019,262448,3430,0,0,1,1,True,1,Dataset_Shard_0200000_0299999,train
CRYDNSvrbis,3159,109401,112559,3159,0,0,1,1,True,1,Dataset_Shard_0100000_0199999,train
pLCE_Kc3_rs,2720,421095,423814,2720,0,0,1,1,True,1,Dataset_Shard_0400000_0499999,train
LABUp-9fzpo,2509,174737,177245,2509,0,0,1,1,True,1,Dataset_Shard_0100000_0199999,train
6QNI1KTP-uA,2470,55230,57699,2470,0,0,1,1,True,1,Dataset_Shard_0000000_0099999,train
OLLAoZsGd0Q,2361,211047,213407,2361,0,0,1,1,True,1,Dataset_Shard_0200000_0299999,test
D2q4s2rE0s_,2351,117673,120023,2351,0,0,1,1,True,1,Dataset_Shard_0100000_0199999,train
z4eQhv4jhsU,2336,488381,490716,2336,0,0,1,1,True,1,Dataset_Shard_0400000_0499999,train
NBZN1K9PE38,2220,195382,197601,2220,0,0,1,1,True,1,Dataset_Shard_0100000_0199999,train
YweVXE4EVWM,2161,287223,289383,2161,0,0,1,1,True,1,Dataset_Shard_0200000_0299999,train
9lVD-SGOSjg,2015,83846,85860,2015,0,0,1,1,True,1,Dataset_Shard_0000000_0099999,train
MO0BNkMVRUM,1988,186737,188724,1988,0,0,1,1,True,1,Dataset_Shard_0100000_0199999,train
-wUKLCvobpI,1980,5308,7287,1980,0,0,1,1,True,1,Dataset_Shard_0000000_0099999,test
ooRkX9iO-V8,1978,417495,419472,1978,0,0,1,1,True,1,Dataset_Shard_0400000_0499999,train
HWcwP-2-gBU,1931,148831,150761,1931,0,0,1,1,True,1,Dataset_Shard_0100000_0199999,train
