video_id,frames,splits,shards,num_shards,first_frame_id,last_frame_id,frame_id_span,frame_id_gaps,missing_frame_ids,min_frame_step,max_frame_step,continuous,extensions
6ys4etJ1IFg,3462,train,Dataset_Shard_0000000_0099999,1,61461,64922,3462,0,0,1,1,True,
Pft9pKcpJfQ,3447,train,Dataset_Shard_0200000_0299999,1,223418,226864,3447,0,0,1,1,True,
U7HzviIwyfs,3430,train,Dataset_Shard_0200000_0299999,1,259019,262448,3430,0,0,1,1,True,
CRYDNSvrbis,3159,train,Dataset_Shard_0100000_0199999,1,109401,112559,3159,0,0,1,1,True,
pLCE_Kc3_rs,2720,train,Dataset_Shard_0400000_0499999,1,421095,423814,2720,0,0,1,1,True,
LABUp-9fzpo,2509,train,Dataset_Shard_0100000_0199999,1,174737,177245,2509,0,0,1,1,True,
6QNI1KTP-uA,2470,train,Dataset_Shard_0000000_0099999,1,55230,57699,2470,0,0,1,1,True,
OLLAoZsGd0Q,2361,test,Dataset_Shard_0200000_0299999,1,211047,213407,2361,0,0,1,1,True,
D2q4s2rE0s_,2351,train,Dataset_Shard_0100000_0199999,1,117673,120023,2351,0,0,1,1,True,
z4eQhv4jhsU,2336,train,Dataset_Shard_0400000_0499999,1,488381,490716,2336,0,0,1,1,True,
NBZN1K9PE38,2220,train,Dataset_Shard_0100000_0199999,1,195382,197601,2220,0,0,1,1,True,
YweVXE4EVWM,2161,train,Dataset_Shard_0200000_0299999,1,287223,289383,2161,0,0,1,1,True,
9lVD-SGOSjg,2015,train,Dataset_Shard_0000000_0099999,1,83846,85860,2015,0,0,1,1,True,
MO0BNkMVRUM,1988,train,Dataset_Shard_0100000_0199999,1,186737,188724,1988,0,0,1,1,True,
-wUKLCvobpI,1980,test,Dataset_Shard_0000000_0099999,1,5308,7287,1980,0,0,1,1,True,
ooRkX9iO-V8,1978,train,Dataset_Shard_0400000_0499999,1,417495,419472,1978,0,0,1,1,True,
HWcwP-2-gBU,1931,train,Dataset_Shard_0100000_0199999,1,148831,150761,1931,0,0,1,1,True,
XCsmC9bEuDg,1925,train,Dataset_Shard_0200000_0299999,1,274622,276546,1925,0,0,1,1,True,
gtUBWqX0ceM,1924,train,Dataset_Shard_0300000_0399999,1,351532,353455,1924,0,0,1,1,True,
h6yjx26N9WE,1923,train,Dataset_Shard_0300000_0399999,1,353456,355378,1923,0,0,1,1,True,
aykwHkSTKps,1910,train,Dataset_Shard_0200000_0299999,1,297413,299322,1910,0,0,1,1,True,
qs-2SwlcufA,1851,train,Dataset_Shard_0400000_0499999,1,434059,435909,1851,0,0,1,1,True,
J72oRFQXj5o,1839,test,Dataset_Shard_0100000_0199999,1,162817,164655,1839,0,0,1,1,True,
euGB9ACrIrg,1822,train,Dataset_Shard_0300000_0399999,1,330918,332739,1822,0,0,1,1,True,
I3ynWCdH9-Q,1820,test,Dataset_Shard_0100000_0199999,1,152756,154575,1820,0,0,1,1,True,
oN1DmJvfFYU,1815,train,Dataset_Shard_0400000_0499999,1,407828,409642,1815,0,0,1,1,True,
lMNq15l1QT0,1807,train,Dataset_Shard_0300000_0399999,1,383642,385448,1807,0,0,1,1,True,
LsLsb6ON3HA,1792,train,Dataset_Shard_0100000_0199999,1,181163,182954,1792,0,0,1,1,True,
J2BXGfLbEQk,1787,test,Dataset_Shard_0100000_0199999,1,160072,161858,1787,0,0,1,1,True,
3YwJ5Fzodfk,1782,train,Dataset_Shard_0000000_0099999,1,32253,34034,1782,0,0,1,1,True,
gRZZVFAq8-s,1738,train,Dataset_Shard_0300000_0399999,1,344874,346611,1738,0,0,1,1,True,
zo9h0PqVn-U,1726,train,Dataset_Shard_0400000_0499999,1,497841,499566,1726,0,0,1,1,True,
NnlJ2WtQxhw,1724,train,Dataset_Shard_0200000_0299999,1,204858,206581,1724,0,0,1,1,True,
n-F9z5TA1vE,1715,train,Dataset_Shard_0300000_0399999,1,392763,394477,1715,0,0,1,1,True,
