video_id,split,num_shards,shards,num_frames,min_frame_id,max_frame_id,frame_id_span,expected_transitions,adjacent_transitions,gap_count,backward_jump_count,continuity_ratio,mean_frame_id_gap,median_frame_id_gap,max_frame_id_gap,estimated_duration_seconds,estimated_duration_minutes,spans_multiple_shards,has_frame_id_gap
-Hs-zuBOlQE,train,1,Dataset_Shard_0000000_0099999,539,0,538,539,538,538,0,0,1.0,1.0,1.0,1,539.0,8.983333333333333,False,False
-J04CE5dA74,train,1,Dataset_Shard_0000000_0099999,1382,539,1920,1382,1381,1381,0,0,1.0,1.0,1.0,1,1382.0,23.033333333333335,False,False
-Qoo3Uq5-50,train,1,Dataset_Shard_0000000_0099999,457,1921,2377,457,456,456,0,0,1.0,1.0,1.0,1,457.0,7.616666666666666,False,False
-VAjjH6TTts,test,1,Dataset_Shard_0000000_0099999,1194,2378,3571,1194,1193,1193,0,0,1.0,1.0,1.0,1,1194.0,19.9,False,False
-bqSDAsWptU,train,1,Dataset_Shard_0000000_0099999,537,3572,4108,537,536,536,0,0,1.0,1.0,1.0,1,537.0,8.95,False,False
-jo_cPHYmjg,test,1,Dataset_Shard_0000000_0099999,915,4109,5023,915,914,914,0,0,1.0,1.0,1.0,1,915.0,15.25,False,False
-tqqp2KwCIQ,train,1,Dataset_Shard_0000000_0099999,284,5024,5307,284,283,283,0,0,1.0,1.0,1.0,1,284.0,4.733333333333333,False,False
-wUKLCvobpI,test,1,Dataset_Shard_0000000_0099999,1980,5308,7287,1980,1979,1979,0,0,1.0,1.0,1.0,1,1980.0,33.0,False,False
02MD08BgFZ0,train,1,Dataset_Shard_0000000_0099999,379,7288,7666,379,378,378,0,0,1.0,1.0,1.0,1,379.0,6.316666666666666,False,False
0FxsmwVeriw,train,1,Dataset_Shard_0000000_0099999,1478,7667,9144,1478,1477,1477,0,0,1.0,1.0,1.0,1,1478.0,24.633333333333333,False,False
0NN6ySHCHVA,train,1,Dataset_Shard_0000000_0099999,339,9145,9483,339,338,338,0,0,1.0,1.0,1.0,1,339.0,5.65,False,False
0TJxBDyP9dw,train,1,Dataset_Shard_0000000_0099999,565,9484,10048,565,564,564,0,0,1.0,1.0,1.0,1,565.0,9.416666666666666,False,False
0U2jrFZuBZM,train,1,Dataset_Shard_0000000_0099999,1221,10049,11269,1221,1220,1220,0,0,1.0,1.0,1.0,1,1221.0,20.35,False,False
0ZSqAjagrVo,train,1,Dataset_Shard_0000000_0099999,1307,11270,12576,1307,1306,1306,0,0,1.0,1.0,1.0,1,1307.0,21.783333333333335,False,False
0uLJTnNb2Es,train,1,Dataset_Shard_0000000_0099999,678,12577,13254,678,677,677,0,0,1.0,1.0,1.0,1,678.0,11.3,False,False
0w6Ky8PBYSQ,train,1,Dataset_Shard_0000000_0099999,467,13255,13721,467,466,466,0,0,1.0,1.0,1.0,1,467.0,7.783333333333333,False,False
0xr9UkXgp2E,val,1,Dataset_Shard_0000000_0099999,650,13722,14371,650,649,649,0,0,1.0,1.0,1.0,1,650.0,10.833333333333334,False,False
0zLSpoyKV_A,train,1,Dataset_Shard_0000000_0099999,852,14372,15223,852,851,851,0,0,1.0,1.0,1.0,1,852.0,14.2,False,False
10gPc7VqgJk,train,1,Dataset_Shard_0000000_0099999,828,15224,16051,828,827,827,0,0,1.0,1.0,1.0,1,828.0,13.8,False,False
1ER3kxd2RvQ,train,1,Dataset_Shard_0000000_0099999,1340,16052,17391,1340,1339,1339,0,0,1.0,1.0,1.0,1,1340.0,22.333333333333332,False,False
1FhZqPfKWjE,train,1,Dataset_Shard_0000000_0099999,1351,17392,18742,1351,1350,1350,0,0,1.0,1.0,1.0,1,1351.0,22.516666666666666,False,False
1YmFjGfQGnw,train,1,Dataset_Shard_0000000_0099999,342,18743,19084,342,341,341,0,0,1.0,1.0,1.0,1,342.0,5.7,False,False
1cMfYuRTDX4,train,1,Dataset_Shard_0000000_0099999,624,19085,19708,624,623,623,0,0,1.0,1.0,1.0,1,624.0,10.4,False,False
1heJXaiMZBw,train,1,Dataset_Shard_0000000_0099999,786,19709,20494,786,785,785,0,0,1.0,1.0,1.0,1,786.0,13.1,False,False
1hla9mZZWKM,train,1,Dataset_Shard_0000000_0099999,817,20495,21311,817,816,816,0,0,1.0,1.0,1.0,1,817.0,13.616666666666667,False,False
1jkQfyIl7Kg,train,1,Dataset_Shard_0000000_0099999,868,21312,22179,868,867,867,0,0,1.0,1.0,1.0,1,868.0,14.466666666666667,False,False
1kyGOkXUEKI,train,1,Dataset_Shard_0000000_0099999,653,22180,22832,653,652,652,0,0,1.0,1.0,1.0,1,653.0,10.883333333333333,False,False
